District,Ethnicity code
Kathmandu,CHT
Parbat,REG
Palpa,REG
Palpa,CHT
Nuwakot,BMN
Makwanpur,AVS
India,REG
Kirtipur,AVS
Makwanpur,AVS
Dang,CHT
Kathmandu,BMN
Lalitpur,AVS
Kathmandu,OTR
Dhankuta,CHT
Banke,MDS
Siraha,OTR
Jhapa,BMN
Jhapa,AVS
Jhapa,AVS
Rautahat,MDS
Mahottari,DLT
Sunsari,MDS
Gulmi,CHT
Rupandehi,MDS
Morang,BMN
Nuwakot,TBT
Jhapa,AVS
Khotang,AVS
Udayapur,BMN
Rupandehi,BMN
Lamjung,DLT
Solukhumbu,BMN
Gulmi,BMN
Morang,AVS
Kavrepalanchok,CHT
Kavrepalanchok,AVS
Kavrepalanchok,AVS
Kavrepalanchok,AVS
Kavrepalanchok,AVS
Kaski,OTR
Morang,DLT
Banke,AVS
Gulmi,DLT
Kavrepalanchok,AVS
India,OTR
Pyuthan,JNJT
Rautahat,CHT
Rautahat,AVS
Rautahat,AVS
Rautahat,AVS
Dolakha,CHT
Nuwakot,AVS
Kavrepalanchok,AVS
Sarlahi,AVS
Bara,AVS
Bhojpur,AVS
Kavrepalanchok,AVS
Khotang,BMN
Khotang,DLT
Myagdi,DLT
Morang,CHT
Morang,CHT
Sunsari,DLT
Terhathum,AVS
Sarlahi,MDS
Sarlahi,MDS
India,MDS
Rautahat,AVS
Dang,OTR
Syangja,AVS
Kanchanpur,BMN
Kanchanpur,AVS
Kanchanpur,BMN
Kanchanpur,AVS
Kanchanpur,AVS
Kanchanpur,AVS
Gorkha,AVS
Kathmandu,AVS
Dadeldhura,MDS
Jhapa,AVS
Dhanusa,MDS
Sunsari,AVS
Banke,DLT
Banke,JNJT
Kavrepalanchok,AVS
Kanchanpur,CHT
Dang,JNJT
Panchthar,DLT
Dolakha,CHT
Morang,DLT
Kailali,JNJT
Ilam,CHT
Rupandehi,DLT
Kaski,DLT
Chitwan,TBT
Terhathum,JNJT
Kathmandu,DLT
Tanahu,AVS
Sunsari,MDS
Sunsari,MDS
Sunsari,MDS
Tanahu,DLT
Khotang,BMN
Tanahu,DLT
Gulmi,AVS
Gulmi,BMN
Udayapur,DLT
Makwanpur,AVS
Ilam,BMN
Dang,AVS
Rautahat,MDS
Siraha,AVS
Siraha,AVS
Siraha,MSLM
Siraha,MDS
Siraha,MDS
Rukum,DLT
Sindhupalchok,TBT
Jhapa,BMN
Morang,DLT
Kapilvastu,BMN
Banke,MDS
Jhapa,BMN
Sindhupalchok,BMN
Baglung,AVS
Makwanpur,AVS
Jhapa,KBMN
Bardiya,DLT
Bardiya,DLT
Bardiya,BMN
Khotang,MDS
Morang,AVS
Khotang,AVS
Khotang,AVS
Tanahu,DLT
Bara,MSLM
Bara,MDS
Bara,MDS
Bara,MDS
Bara,MDS
Bara,OTR
Bara,OTR
Rupandehi,BMN
Rupandehi,BMN
Salyan,CHT
Sindhupalchok,DLT
Sindhupalchok,DLT
Kapilvastu,JNJT
Morang,AVS
Baglung,CHT
Jajarkot,JNJT
Sarlahi,MDS
Rautahat,OTR
Kapilvastu,MDS
Panchthar,AVS
Rautahat,AVS
Lalitpur,BMN
Udayapur,AVS
Dailekh,DLT
Jhapa,MSLM
Myagdi,AVS
Gorkha,DLT
Khotang,KAVS
Udayapur,MDS
Udayapur,AVS
Kapilvastu,BMN
Kavrepalanchok,DLT
Jhapa,OTR
Jhapa,BMN
Terhathum,AVS
Jhapa,MDS
Jhapa,OTR
Jhapa,KAVS
Tanahu,DLT
Tanahu,DLT
Tanahu,DLT
Tanahu,DLT
Tanahu,DLT
Panchthar,AVS
Kapilvastu,DLT
Arghakhanchi,KAVS
Siraha,MDS
Rautahat,MDS
Rautahat,MDS
Mahottari,MDS
Dhanusha,CHT
Rautahat,MDS
Taplejung,DLT
Kapilvastu,DLT
Kapilvastu,DLT
Sarlahi,DLT
Sarlahi,AVS
Dolakha,CHT
Tanahu,OTR
Morang,AVS
Rautahat,OTR
"West Bengal, India",OTR
Pyuthan,KAVS
Kaski,REG
Morang,AVS
Bhojpur,DLT
Makwanpur,BMN
Khotang,AVS
Panchthar,AVS
Panchthar,AVS
Kathmandu,AVS
Sindhupalchok,AVS
Parasi,JNJT
Parasi,BMN
Kanchanpur,JNJT
India,MDS
Myagdi,AVS
Siraha,AVS
Siraha,AVS
Siraha,AVS
Darchula,AVS
Ilam,AVS
Mahottari,CHT
Kavrepalanchok,AVS
Kaski,KAVS
