District,P or V,Ethnicity code
Kathmandu,P,CHT
Parbat,P,REG
Palpa,P,REG
Palpa,P,CHT
Nuwakot,P,BMN
Makwanpur,P,AVS
India,P,REG
Kirtipur,P,AVS
Makwanpur,P,AVS
Dang,P,CHT
Kathmandu,P,BMN
Lalitpur,P,AVS
Kathmandu,P,OTR
Dhankuta,P,CHT
Banke,P,MDS
Siraha,P,OTR
Jhapa,P,BMN
Jhapa,P,AVS
Jhapa,P,AVS
Rautahat,P,MDS
Rautahat,V,DLT
Mahottari,P,DLT
Sunsari,P,MDS
Gulmi,P,CHT
Rupandehi,P,MDS
Morang,P,BMN
Nuwakot,P,TBT
Jhapa,P,AVS
Khotang,P,AVS
Khotang,V,DLT
Udayapur,P,BMN
Rupandehi,P,BMN
Lamjung,P,DLT
Solukhumbu,P,BMN
Gulmi,P,BMN
Morang,P,AVS
Kavrepalanchok,P,CHT
Kavrepalanchok,P,AVS
Kavrepalanchok,P,AVS
Kavrepalanchok,P,AVS
Kavrepalanchok,P,AVS
Kaski,P,OTR
Morang,P,DLT
Banke,P,AVS
Gulmi,P,DLT
Kavrepalanchok,P,AVS
India,P,OTR
Pyuthan,P,JNJT
Rautahat,P,CHT
Rautahat,P,AVS
Rautahat,P,AVS
Rautahat,P,AVS
Dolakha,P,CHT
Nuwakot,P,AVS
Kavrepalanchok,P,AVS
Sarlahi,P,AVS
Bara,P,AVS
Bhojpur,P,AVS
Kavrepalanchok,P,AVS
Khotang,P,BMN
Khotang,P,DLT
Myagdi,P,DLT
Morang,P,CHT
Morang,P,CHT
Sunsari,P,DLT
Terhathum,P,AVS
Sarlahi,P,MDS
Sarlahi,P,MDS
India,P,MDS
Rautahat,P,AVS
Dang,P,OTR
Syangja,P,AVS
Kanchanpur,P,BMN
Kanchanpur,P,AVS
Kanchanpur,P,BMN
Kanchanpur,P,AVS
Kanchanpur,P,AVS
Kanchanpur,P,AVS
Gorkha,P,AVS
Kathmandu,P,AVS
Dadeldhura,P,MDS
Jhapa,P,AVS
Dhanusa,P,MDS
Sunsari,P,AVS
Banke,P,DLT
Banke,P,JNJT
Kavrepalanchok,P,AVS
Kanchanpur,P,CHT
Dang,P,JNJT
Panchthar,P,DLT
Dolakha,P,CHT
Morang,P,DLT
Kailali,P,JNJT
Ilam,P,CHT
Rupandehi,P,DLT
Kaski,P,DLT
Chitwan,P,TBT
Terhathum,P,JNJT
Kathmandu,P,DLT
Kathmandu,V,DLT
Tanahu,P,AVS
Sunsari,P,MDS
Sunsari,P,MDS
Sunsari,P,MDS
Tanahu,P,DLT
Khotang,P,BMN
Tanahu,P,DLT
Gulmi,P,AVS
Gulmi,P,BMN
Udayapur,P,DLT
Makwanpur,P,AVS
Ilam,P,BMN
Dang,P,AVS
Rautahat,P,MDS
Siraha,P,AVS
Siraha,P,AVS
Siraha,P,MSLM
Siraha,P,MDS
Siraha,P,MDS
Rukum,P,DLT
Sindhupalchok,P,TBT
Jhapa,P,BMN
Jhapa,V,BMN
Morang,P,DLT
Kapilvastu,P,BMN
Banke,P,MDS
Jhapa,P,BMN
Sindhupalchok,P,BMN
Baglung,P,AVS
Makwanpur,P,AVS
Jhapa,P,KBMN
Bardiya,P,DLT
Bardiya,P,DLT
Bardiya,P,BMN
Khotang,P,MDS
Morang,P,AVS
Khotang,P,AVS
Khotang,P,AVS
Tanahu,P,DLT
Bara,P,MSLM
Bara,P,MDS
Bara,P,MDS
Bara,P,MDS
Bara,P,MDS
Bara,P,OTR
Bara,P,OTR
Rupandehi,P,BMN
Rupandehi,P,BMN
Salyan,P,CHT
Sindhupalchok,P,DLT
Sindhupalchok,P,DLT
Kapilvastu,P,JNJT
Morang,P,AVS
Baglung,P,CHT
Jajarkot,P,JNJT
Sarlahi,P,MDS
Rautahat,P,OTR
Kapilvastu,P,MDS
Panchthar,P,AVS
Rautahat,P,AVS
Lalitpur,P,BMN
Udayapur,P,AVS
Dailekh,P,DLT
Jhapa,P,MSLM
Myagdi,P,AVS
Gorkha,P,DLT
Khotang,P,KAVS
Udayapur,P,MDS
Udayapur,P,AVS
Kapilvastu,P,BMN
Kavrepalanchok,P,DLT
Bara,V,MDS
Jhapa,P,OTR
Jhapa,P,BMN
Terhathum,P,AVS
Jhapa,P,MDS
Jhapa,V,MDS
Jhapa,P,OTR
Jhapa,P,KAVS
Tanahu,P,DLT
Tanahu,P,DLT
Tanahu,P,DLT
Tanahu,P,DLT
Tanahu,P,DLT
Panchthar,P,AVS
Kapilvastu,P,DLT
Arghakhanchi,P,KAVS
Siraha,P,MDS
Rautahat,P,MDS
Rautahat,P,MDS
Mahottari,P,MDS
Dhanusha,P,CHT
Rautahat,P,MDS
Taplejung,P,DLT
Taplejung,V,DLT
Kapilvastu,P,DLT
Kapilvastu,P,DLT
Sarlahi,P,DLT
Sarlahi,P,AVS
Dolakha,P,CHT
Tanahu,P,OTR
Morang,P,AVS
Rautahat,P,OTR
"West Bengal, India",P,OTR
Pyuthan,P,KAVS
Kaski,P,REG
Morang,P,AVS
Bhojpur,P,DLT
Makwanpur,P,BMN
Khotang,P,AVS
Panchthar,P,AVS
Panchthar,P,AVS
Kathmandu,P,AVS
Sindhupalchok,P,AVS
Parasi,P,JNJT
Parasi,P,BMN
Kanchanpur,P,JNJT
India,P,MDS
Myagdi,P,AVS
Siraha,P,AVS
Siraha,P,AVS
Siraha,P,AVS
Darchula,P,AVS
Ilam,P,AVS
Mahottari,P,CHT
Kavrepalanchok,P,AVS
Kaski,P,KAVS
Sindhupalchok,P,BMN
Kanchanpur,P,DLT
Makwanpur,P,BMN
Makwanpur,P,BMN
Makwanpur,P,BMN
Dailekh,P,DLT
Dailekh,V,DLT
Kavrepalanchok,P,AVS
Kachanpur,P,JNJT
Udayapur,P,CHT
Udayapur,P,AVS
Bara,P,MDS
Dang,P,DLT
Surkhet,P,JNJT
Surkhet,P,JNJT
Surkhet,P,DLT
Kapilvastu,P,MDS
"Motihari, India",P,MDS
Parsa,P,OTR
Sunsari,P,JNJT
Sunsari,P,BMN
Sunsari,P,BMN
Sunsari,P,BMN
Sunsari,P,CHT
Sunsari,P,AVS
Bardiya,P,REG
Gorkha,P,AVS
Surkhet,P,AVS
Surkhet,P,BMN
Surkhet,P,CHT
Parbat,P,DLT
Kanchanpur,P,OTR
Rautahat,P,DLT
Makwanpur,P,DLT
Makwanpur,P,BMN
Myagdi,P,BMN
Ilam,P,DLT
Bardiya,P,JNJT
Saptari,P,MDS
Taplejung,P,AVS
Udayapur,P,JNJT
Udayapur,V,MDS
Kanchanpur,P,AVS
Kapilvastu,P,DLT
Kalikot,P,DLT
Sunsari,P,AVS
Morang,P,BMN
Banke,P,MDS
Siraha,P,MDS
Morang,P,CHT
Lamjung,P,OTR
Jhapa,P,OTR
Panchthar,P,JNJT
Kapilvastu,P,CHT
