District,Age
Kathmandu,18
Parbat,40
Palpa,14
Palpa,11
Nuwakot,NA
Makwanpur,35
Ramechhap,43
India,15
Kirtipur,19
Makwanpur,25
Dang,28
Kathmandu,16
Okhaldhunga,30
Lalitpur,27
Kathmandu,16
Dhankuta,27
Banke,17
Siraha,50
Jhapa,14
Jhapa,39
Jhapa,35
Rautahat,28
Mahottari,45
Sunsari,NA
Gulmi,27
Rupandehi,71
Morang,22
Nuwakot,34
Jhapa,60
Khotang,17
Udayapur,NA
Rupandehi,31
Lamjung,29
Solukhumbu,17
Kathmandu,NA
Kathmandu,NA
Gulmi,65
Morang,66
Kavrepalanchok,18
Kavrepalanchok,16
Kavrepalanchok,16
Kavrepalanchok,50
Kavrepalanchok,30
Kaski,16
Morang,16
Banke,32
Gulmi,20
Bara,NA
Kavrepalanchok,38
India,16
Pyuthan,26
Rautahat,NA
Rautahat,NA
Rautahat,NA
Rautahat,NA
Rautahat,NA
Rautahat,NA
Dolakha,26
Nuwakot,28
Kavrepalanchok,38
Sarlahi,56
Bara,72
Bhojpur,NA
Kavrepalanchok,70
Khotang,NA
Khotang,60
Myagdi,18
Morang,31
Morang,NA
Morang,NA
Morang,NA
Sunsari,45
Terhathum,68
Jhapa,NA
Jhapa,NA
Jhapa,NA
Jhapa,NA
Jhapa,NA
Jhapa,NA
Jhapa,NA
Jhapa,NA
Jhapa,NA
Jhapa,NA
Sarlahi,39
Sarlahi,29
Rautahat,45
Dang,33
Syangja,29
Kailali,NA
Kanchanpur,22
Kanchanpur,24
Gorkha,23
Kathmandu,23
Dadeldhura,59
Jhapa,30
Dhanusa,23
Sunsari,32
Banke,NA
Banke,NA
Banke,NA
Banke,NA
Banke,NA
Kavrepalanchok,24
Morang,NA
Kanchanpur,46
Dang,24
Panchthar,17
Dolakha,NA
Morang,19
Kailali,25
Ilam,NA
Rupandehi,14
Kaski,28
Chitwan,NA
Terhathum,32
Kathmandu,68
Tanahu,63
Sunsari,30
Sunsari,19
Sunsari,18
Tanahu,29
Khotang,65
Tanahu,29
Gulmi,17
Gulmi,20
Udayapur,20
Makwanpur,28
Ilam,18
Dang,21
Dang,NA
Dang,NA
Dang,NA
Rautahat,45
Siraha,NA
Siraha,NA
Siraha,NA
Siraha,NA
Siraha,NA
Rukum,NA
Sindhupalchok,54
