District,Time
Kathmandu,12
Kathmandu,18
Kathmandu,22
Kathmandu,2
Makwanpur,16
Udayapur,7
Kathmandu,18
Kathmandu,17
Kathmandu,21
Kathmandu,18
Kathmandu,20
Siraha,15
Jhapa,16
Jhapa,19
Mahottari,2
Kathmandu,13
Rupandehi,19
Sindhupalchok,2
Jhapa,7
Rukum,22
Palpa,15
Lamjung,1
Morang,11
Kaski,19
Morang,15
Banke,2
Gulmi,19
Bara,2
Kathmandu,2
Bara,13
Khotang,20
Morang,10
Sunsari,12
Terhathum,13
Jhapa,20
Sarlahi,11
Rautahat,7
Dang,18
Syangja,15
Kailali,2
Kanchanpur,7
Kathmandu,21
Jhapa,19
Dhanusa,23
Sunsari,22
Banke,9
Kavrepalanchok,18
Morang,17
Dang,2
Panchthar,14
Morang,18
Kailali,14
Rupandehi,14
Kaski,2
Sindhuli,9
Terhathum,12
Kathmandu,11
Tanahu,14
Sunsari,2
Gulmi,20
Makwanpur,2
Ilam,9
Dang,21
Siraha,2
siraha,9
Rukum,20
Jhapa,9
Morang,9
Kapilvastu,16
Banke,10
Kathmandu,10
Baglung,2
Makwanpur,20
Khotang,2
Khotang,2
Bara,14
Sarlahi,2
Udayapur,2
Kanchanpur,2
Kavrepalanchok,19
Bara,19
Jhapa,2
Jhapa,19
Jhapa,20
Tanahu,20
Panchthar,20
Rautahat,21
Mahottari,20
Rautahat,23
Rautahat,2
Sunsari,20
Lalitpur,2
Mahottari,20
Udayapur,20
Parsa,20
Sunsari,2
Parbat,20
Kanchanpur,20
Myagdi,20
Ilam,2
Udayapur,2
Kalikot,2
Banke,2
Rukum West,2
Myagdi,20
Gorkha,2
Rautahat,1
Sarlahi,9
Kathmandu,20
Bhaktapur,11
Bara,2
Dang,14
Palpa,16
Kavrepalanchok,2
Baitadi,17
Udayapur,20
Bhojpur,12
Siraha,9
Kapilvastu,2
Rautahat,2
Rautahat,2
Dang,20
Rautahat,14
Udayapur,14
Sindhuli,2
Khotang,2
Taplejung,14
Rukum,20
Jhapa,2
Nuwakot,2
Dhanusa,2
Banke,2
Rukum West,2
Panchthar,2
Rukum East,14
Rautahat,2
Kaski,2
Bara,14
Myagdi,2
Rautahat,2
Kaski,9
Bhojpur,4
Kathmandu,14
Saptari,22
Rasuwa,14
Saptari,2
Dolpa,2
Kathmandu,20
Kathmandu,2
Parasi,8
Siraha,2
Bhaktapur,2
Kathmandu,2
Nawalpur,20
Parasi,20
Rautahat,2
Saptari,2
Parsa,14
Kapilvastu,2
Rautahat,2
Banke,20
Terhathum,2
Kailali,2
Rautahat,2
Bhaktapur,2
Sunsari,2
Dang,14
Bhojpur,14
Kapilvastu,2
Dang,2
Bhaktapur,20
Parasi,14
Panchthar,14
Siraha,2
Kailali,2
Siraha,2
Nuwakot,14
Nawalpur,20
Kanchanpur,2
Kailali,2
Saptari,14
Bara,2
Sindhuli,2
Kanchanpur,14
Rautahat,20
Parsa,9
Okhaldhunga,2
Lalitpur,2
Rolpa,2
Dhanusa,2
Rukum East,2
Salyan,20
Dang,23
Saptari,2
Makwanpur,9
Bardiya,2
Morang,2
Saptari,21
Dang,10
Sindhuli,14
Dang,19
Kailali,2
Kaski,2
Saptari,2
Kathmandu,2
Kailali,2
Bardiya,2
Udayapur,2
Kailali,2
Syangja,2
Morang,20
Parsa,20
Morang,14
Jhapa,21
Sunsari,20
Dang,18
Kanchanpur,2
Bajhang,23
Dang,2
Kathmandu,14
Bardiya,2
Chitwan,16
Kapilvastu,2
Lalitpur,20
Surkhet,5
Makwanpur,20
Sunsari,19
Parsa,9
Rukum West,21
Terhathum,14
Dhankuta,8
Myagdi,20
Morang,20
Jhapa,20
Ramechhap,2
Jhapa,2
Saptari,2
Rautahat,2
Udayapur,20
Bara,9
Tanahu,20
Kathmandu,2
Rupandehi,20
Palpa,2
Kapilvastu,2
Jumla,20
Chitwan,2
Palpa,9
Kathmandu,2
Rukum West,20
Dhankuta,14
Palpa,2
Tanahu,2
Dhankuta,2
Kathmandu,2
Banke,2
Dang,2
Jhapa,2
Banke,2
Gulmi,20
Dang,9
Banke,2
Morang,14
Bhaktapur,2
Okhaldhunga,14
Rupandehi,2
Udayapur,2
Morang,2
Tanahu,2
Sunsari,14
Dang,20
Dang,14
Banke,14
Baglung,2
Siraha,14
Terhathum,14
Kanchanpur,9
Bhojpur,2
Rupandehi,2
Tanahu,9
Darchula,2
Dhading,9
Udayapur,2
Dailekh,2
Bardiya,20
Jhapa,20
Parsa,2
Udayapur,20
Udayapur,9
Rupandehi,9
Humla,2
Dang,2
