District,Age
Kathmandu,7
Sindhuli,12
Dolakha,7
Kathmandu,15
Kathmandu,17
Kathmandu,20
Kathmandu,4
Kathmandu,15
Makwanpur,15
Udayapur,18
Kathmandu,5
Kathmandu,12
Kathmandu,17
Kathmandu,7
Kathmandu,5
Kathmandu,8
Siraha,10
Jhapa,10
Jhapa,25
Jhapa,26
Rautahat,25
Mahottari,14
Sunsari,6
India,4
Rupandehi,12
Morang,16
Sindhupalchok,11
Jhapa,11
Khotang,40
Rukum,16
Palpa,19
Lamjung,10
Kathmandu,15
Gulmi,9
Morang,11
Kavrepalanchok,11
Kavrepalanchok,21
Kaski,7
Morang,7
Banke,32
Gulmi,15
Bara,10
Kavrepalanchok,NA
Bhaktapur,4
Bhaktapur,7
Pyuthan,42
Rautahat,16
Chitwan,16
Kavrepalanchok,13
Sarlahi,14
Bara,7
Bara,9
Bhojpur,8
Kavrepalanchok,2
Khotang,NA
Khotang,15
Kaski,NA
Morang,NA
Sunsari,28
Terhathum,NA
Jhapa,NA
Sarlahi,30
Rautahat,20
Dang,13
Syangja,24
Kailali,11
Kanchanpur,16
Gorkha,5
Kathmandu,10
Dadeldhura,12
Jhapa,42
Jhapa,NA
Dhanusa,9
Sunsari,6
Banke,18
Kavrepalanchok,35
Morang,NA
Kanchanpur,14
Dang,20
Panchthar,6
Bhaktapur,16
Morang,4
Kailali,14
Ilam,51
Rupandehi,4
Kaski,NA
Sindhuli,13
Terhathum,14
Kathmandu,5
Tanahu,12
Sunsari,NA
Tanahu,NA
Khotang,13
Tanahu,15
Baglung,15
Udayapur,16
Makwanpur,32
Ilam,17
Dang,35
Rautahat,10
India,14
Siraha,19
Rukum,18
Rasuwa,NA
Jhapa,NA
Morang,6
Kapilvastu,12
Banke,28
Jhapa,16
Morang,9
Kathmandu,6
Baglung,NA
Makwanpur,11
Jhapa,25
Bardiya,NA
Khotang,18
Morang,13
Khotang,7
Tanahu,17
India,20
Palpa,41
Dang,NA
Sindhupalchok,NA
Kapilvastu,18
Morang,35
Baglung,32
Jajarkot,6
Sarlahi,6
Rautahat,4
Kapilvastu,NA
Panchthar,46
Rautahat,NA
Rautahat,NA
Rautahat,NA
Rautahat,NA
Rautahat,NA
Sarlahi,30
Lalitpur,7
Udayapur,NA
Dailekh,33
Jhapa,12
Myagdi,3
Gorkha,5
Kathmandu,14
Udayapur,NA
Udayapur,13
Kapilvastu,11
Kanchanpur,20
Kavrepalanchok,5
Bara,6
Jhapa,27
Jhapa,NA
Terhathum,6
Jhapa,8
Jhapa,11
Jhapa,6
Tanahu,14
Panchthar,57
"India, Siddarthanagar",11
Arghakhanchi,22
Siraha,14
Rautahat,30
Mahottari,8
Dhanusha,14
Rautahat,10
Taplejung,6
Kapilvastu,12
Rautahat,28
Sarlahi,9
Dhanusha,17
Dolakha,19
Tanahu,16
Morang,25
Rautahat,25
Sunsari,5
Pyuthan,20
Kaski,NA
Morang,5
Bhojpur,22
Lalitpur,NA
Lalitpur,NA
Khotang,15
Panchthar,NA
Panchthar,NA
Kathmandu,14
Sindhupalchok,28
Parasi,72
Kanchanpur,6
Kaski,17
Myagdi,45
Siraha,NA
Darchula,4
Ilam,26
Mahottari,15
Kavrepalanchok,13
Bhaktapur,22
Khotang,12
Sarlahi,NA
Kaski,7
Sindhupalchok,68
Kanchanpur,NA
Makwanpur,45
Dailekh,12
Kavrepalanchok,11
Banke,5
Udayapur,22
Udayapur,30
Sarlahi,14
Salyan,15
Dang,41
Surkhet,10
Kapilvastu,12
Kaski,17
Parsa,6
Sunsari,26
Bardiya,10
Gorkha,12
Surkhet,18
Parbat,13
Kanchanpur,14
Rautahat,4
Kailali,13
Makwanpur,15
Myagdi,45
Ilam,11
Bardiya,10
Saptari,18
Taplejung,16
Udayapur,38
Kanchanpur,28
Panchthar,10
Kapilvastu,57
Kalikot,19
Sunsari,4
Banke,29
Siraha,12
Morang,8
Kaski,5
Jhapa,13
Panchthar,15
Kapilvastu,14
Sindhupalchok,14
Rukum West,16
Kaski,16
Rautahat,25
Dang,5
Dhanusha,5
Gorkha,NA
Udayapur,NA
Myagdi,7
Gorkha,9
Rautahat,45
Udayapur,7
Dhanusha,7
Morang,7
Siraha,14
Sarlahi,9
Kathmandu,5
Sunsari,4
Kavrepalanchok,20
Bhaktapur,8
Bara,NA
Sindhupalchok,21
Morang,7
Syangja,10
Kathmandu,8
Bardiya,5
Bardiya,23
Taplejung,8
Makwanpur,25
Lamjung,5
Gorkha,48
Sindhupalchok,10
Palpa,7
Banke,14
Dang,2
Chitwan,6
Kapilvastu,11
Lalitpur,9
Banke,5
Siraha,14
Sunsari,12
Bhojpur,24
Pyuthan,3
Banke,55
Chitwan,6
Kavrepalanchok,12
Dhanusha,6
Dhanusha,7
Dhanusha,8
Mahottari,14
Mahottari,15
Dang,13
Nawalpur,4
Kathmandu,10
Kaski,15
