,Type of Attack,Attempted or Raped,Reported To,Consequences of the attack,Date of Incident,Districts,Sources
0,minor,molestation,parents,physical injury,25/03/2013,kathmandu,thehimalayantimes.com
1,minor,attempt,police,physical injury,3/4/2013,kathmandu,nepalpolice.gov.np
2,gang,assault,police,physical injury,1/5/2013,kathmandu,nepalpolice.gov.np
3,minor,assault,police,physical injury,7/5/2013,kathmandu,nepalpolice.gov.np
4,opportunist,assault,police,physical injury,8/5/2013,kathmandu,thehimalayantimes.com
5,opportunist,attempt,police,physical injury,16/05/2013,kathmandu,thehimalayantimes.com
6,minor,assault,police,physical injury,5/6/2013,kathmandu,nepalpolice.gov.np
7,minor,assault,police,physical injury,19/06/2013,kathmandu,nepalpolice.gov.np
8,minor,assault,police,physical injury,21/06/2013,kathmandu,nepalpolice.gov.np
9,opportunist,assault,police,physical injury,27/06/2013,kathmandu,thehimalayantimes.com
10,minor,assault,police,physical injury,9/7/2013,kathmandu,nepalpolice.gov.np
11,minor,attempt,victim,physical injury,17/07/2013,kathmandu,thehimalayantimes.com
12,opportunist,assault,police,physical injury,7/8/2013,kathmandu,thehimalayantimes.com
13,minor,assault,police,physical injury,15/08/2013,kathmandu,thehimalayantimes.com
14,minor,attempt,police,physical injury,4/9/2013,kathmandu,nepalpolice.gov.np
15,minor,assault,police,physical injury,17/11/2013,kathmandu,nepalpolice.gov.np
16,minor,assault,police,physical injury,4/1/2014,siraha,nepalpolice.gov.np
17,minor,assault,police,physical injury,9/1/2014,jhapa,nepalpolice.gov.np
18,opportunist,assault,police,physical injury,12/1/2014,jhapa,nepalpolice.gov.np
19,opportunist,assault,police,physical injury,20/01/2014,jhapa,nepalpolice.gov.np
20,opportunist,assault,police,physical injury,20/01/2014,rautahat,thehimalayantimes.com
21,opportunist,assault,police,physical injury,21/01/2014,mahottari,thehimalayantimes.com
22,minor,assault,police,physical injury,24/01/2014,sunsari,nepalpolice.gov.np
